# Time Signal
0.000000000000000000e+00 -1.612418788477256171e-01
1.001001001001000992e-03 7.126565316944259987e-01
2.002002002002001985e-03 1.317548741751359387e+00
3.003003003003002977e-03 1.365316623577886190e+00
4.004004004004003969e-03 1.264867363229975172e+00
5.005005005005004962e-03 7.341500917566043949e-01
6.006006006006005954e-03 7.533964957974514931e-01
7.007007007007006946e-03 5.414439686218739389e-01
8.008008008008007939e-03 2.603137895094448928e-01
9.009009009009008931e-03 2.843837543168477033e-01
1.001001001001000992e-02 -2.631926265024042005e-02
1.101101101101101092e-02 -1.393003651864569425e-01
1.201201201201201191e-02 -2.153287175155214894e-01
1.301301301301301290e-02 -2.467449491915629234e-01
1.401401401401401389e-02 -5.483049541306727059e-01
1.501501501501501488e-02 -7.736322520317862050e-01
1.601601601601601588e-02 -1.061275100368022750e+00
1.701701701701701513e-02 -1.368461966946268316e+00
1.801801801801801786e-02 -1.254982086512044681e+00
1.901901901901902059e-02 -7.398420766801391268e-01
2.002002002002001985e-02 1.491578893445485443e-01
2.102102102102101910e-02 5.827609667219680878e-01
2.202202202202202183e-02 1.380561891326153034e+00
2.302302302302302456e-02 1.662986979033818535e+00
2.402402402402402382e-02 1.374325007695615941e+00
2.502502502502502307e-02 6.963490890442965986e-01
2.602602602602602580e-02 6.750161242094330216e-01
2.702702702702702853e-02 3.222407887216063305e-01
2.802802802802802778e-02 3.929019806146985538e-01
2.902902902902902704e-02 9.839329345269524907e-02
3.003003003003002977e-02 1.224041328773796122e-01
3.103103103103103250e-02 -2.601581489294688687e-01
3.203203203203203175e-02 -3.257605427852151014e-01
3.303303303303303101e-02 -3.978082229942709325e-01
3.403403403403403027e-02 -5.717769314901737232e-01
3.503503503503503647e-02 -8.385460391927833657e-01
3.603603603603603572e-02 -1.126514755723686312e+00
3.703703703703703498e-02 -1.363212798114455726e+00
3.803803803803804118e-02 -1.258066591117064981e+00
3.903903903903904044e-02 -6.964545049636173824e-01
4.004004004004003969e-02 -2.643428326109100723e-01
4.104104104104103895e-02 9.038838891381910656e-01
4.204204204204203821e-02 1.268861137326743105e+00
4.304304304304304440e-02 1.401547611121470638e+00
4.404404404404404366e-02 1.037116766980198390e+00
4.504504504504504292e-02 6.181303417883332596e-01
4.604604604604604912e-02 4.920403269841305272e-01
4.704704704704704837e-02 5.390978279244309501e-01
4.804804804804804763e-02 3.022578594358789617e-01
4.904904904904904689e-02 6.927637389950429270e-02
5.005005005005004615e-02 -7.893966346035563575e-02
5.105105105105105234e-02 -4.803893707136869251e-02
5.205205205205205160e-02 -4.768563011382234151e-01
5.305305305305305086e-02 -3.129993022538335445e-01
5.405405405405405705e-02 -5.313741621958869565e-01
5.505505505505505631e-02 -9.948943439397220923e-01
5.605605605605605557e-02 -1.146804284011558206e+00
5.705705705705705483e-02 -1.314740364063329059e+00
5.805805805805805409e-02 -1.157155847183966690e+00
5.905905905905906028e-02 -6.772782567259907349e-01
6.006006006006005954e-02 1.270120103460279370e-01
6.106106106106105880e-02 5.731557853956169568e-01
6.206206206206206499e-02 1.191699209574581086e+00
6.306306306306305731e-02 1.373160366555416623e+00
6.406406406406406351e-02 1.184621719329768119e+00
6.506506506506506970e-02 8.276524553692587993e-01
6.606606606606606202e-02 5.225291959218643090e-01
6.706706706706706822e-02 2.838548032083518802e-01
6.806806806806806054e-02 2.205051861701335381e-01
6.906906906906906674e-02 1.732504957598937079e-01
7.007007007007007293e-02 -8.580485685512523331e-02
7.107107107107106525e-02 -1.975296429727075032e-01
7.207207207207207145e-02 -3.413401938263654900e-01
7.307307307307307764e-02 -5.356060679417993242e-01
7.407407407407406996e-02 -4.034270825442990982e-01
7.507507507507507616e-02 -8.487463825598819955e-01
7.607607607607608236e-02 -9.880298787182726361e-01
7.707707707707707467e-02 -1.365814963675926696e+00
7.807807807807808087e-02 -1.244047083360915629e+00
7.907907907907907319e-02 -5.115445618200427091e-01
8.008008008008007939e-02 8.496340328268045528e-02
8.108108108108108558e-02 9.357353148958225120e-01
8.208208208208207790e-02 1.478152039483785263e+00
8.308308308308308410e-02 1.424021311495447861e+00
8.408408408408407642e-02 1.159514096238292380e+00
8.508508508508508261e-02 7.980657010476238655e-01
8.608608608608608881e-02 2.656440097636332820e-01
8.708708708708708113e-02 3.683375516065476307e-01
8.808808808808808732e-02 5.267211789873493810e-01
8.908908908908909352e-02 9.497677625339238927e-02
9.009009009009008584e-02 8.086627209262028937e-02
9.109109109109109204e-02 -2.877530261315690563e-01
9.209209209209209823e-02 -1.406884535287792892e-01
9.309309309309309055e-02 -4.656610316281751261e-01
9.409409409409409675e-02 -4.988305313613858316e-01
9.509509509509508907e-02 -8.197575667652793330e-01
9.609609609609609526e-02 -1.070743502104490652e+00
9.709709709709710146e-02 -1.492705692598627065e+00
9.809809809809809378e-02 -1.191756454836048196e+00
9.909909909909909997e-02 -5.903121483102432565e-01
1.001001001001000923e-01 6.362753238841134529e-02
1.011011011011010985e-01 9.097763789918286159e-01
1.021021021021021047e-01 1.303724627521904766e+00
1.031031031031030970e-01 1.431523126519284039e+00
1.041041041041041032e-01 9.525953284729714587e-01
1.051051051051051094e-01 8.330515984981901045e-01
1.061061061061061017e-01 4.615920458880961585e-01
1.071071071071071079e-01 2.292567886486742146e-01
1.081081081081081141e-01 3.200606060005384279e-01
1.091091091091091064e-01 3.050869216216453572e-02
1.101101101101101126e-01 -3.029706393524659105e-02
1.111111111111111049e-01 -1.036377453666445791e-01
1.121121121121121111e-01 -2.153744754987426124e-01
1.131131131131131173e-01 -4.572838111251387727e-01
1.141141141141141097e-01 -5.022457531344202142e-01
1.151151151151151159e-01 -7.563856668647526149e-01
1.161161161161161082e-01 -1.009862667020780203e+00
1.171171171171171144e-01 -1.384072617518606219e+00
1.181181181181181206e-01 -1.171705956169001306e+00
1.191191191191191129e-01 -5.110175059998850466e-01
1.201201201201201191e-01 1.507085800926089014e-01
1.211211211211211253e-01 7.065891989833090747e-01
1.221221221221221176e-01 1.396704484415157710e+00
1.231231231231231238e-01 1.365650568947354371e+00
1.241241241241241300e-01 1.142111742051185264e+00
1.251251251251251362e-01 8.129708502592674080e-01
1.261261261261261146e-01 5.019896917706471173e-01
1.271271271271271208e-01 3.032650809616900811e-01
1.281281281281281270e-01 3.104699087422421733e-01
1.291291291291291332e-01 1.863994475319017130e-01
1.301301301301301394e-01 -7.942081479280746481e-02
1.311311311311311179e-01 -2.174082806219314601e-01
1.321321321321321240e-01 -1.584305914129717219e-01
1.331331331331331302e-01 -3.987253543719138649e-01
1.341341341341341364e-01 -4.031542874999656245e-01
1.351351351351351426e-01 -9.455186198754065297e-01
1.361361361361361211e-01 -1.085966699972954252e+00
1.371371371371371273e-01 -1.441766499009001334e+00
1.381381381381381335e-01 -1.314811228845884195e+00
1.391391391391391397e-01 -5.322165180984564925e-01
1.401401401401401459e-01 1.686522506190887005e-01
1.411411411411411521e-01 8.259136083221828573e-01
1.421421421421421305e-01 1.233648910876363747e+00
1.431431431431431367e-01 1.425342312176955506e+00
1.441441441441441429e-01 9.391696354092540222e-01
1.451451451451451491e-01 7.250183275122061843e-01
1.461461461461461553e-01 6.110236360295570046e-01
1.471471471471471337e-01 5.266889439534183648e-01
1.481481481481481399e-01 2.241819139004800343e-01
1.491491491491491461e-01 4.237176688290589244e-01
1.501501501501501523e-01 -1.879734047976123756e-01
1.511511511511511585e-01 -1.631692835670176256e-01
1.521521521521521647e-01 -4.293318450589760915e-01
1.531531531531531432e-01 -3.174501935907897976e-01
1.541541541541541493e-01 -5.895692880960466953e-01
1.551551551551551555e-01 -9.299828847369027152e-01
1.561561561561561617e-01 -1.106444835730075349e+00
1.571571571571571679e-01 -1.354521912477229195e+00
1.581581581581581464e-01 -1.304835902494951183e+00
1.591591591591591526e-01 -7.544741402489190119e-01
1.601601601601601588e-01 2.124898484659443754e-01
1.611611611611611650e-01 9.191006227080456004e-01
1.621621621621621712e-01 1.373411198193822846e+00
1.631631631631631496e-01 1.198795646312468044e+00
1.641641641641641558e-01 8.940672248992823645e-01
1.651651651651651620e-01 7.067849761830822253e-01
1.661661661661661682e-01 6.491889953014372550e-01
1.671671671671671744e-01 4.079980064315615329e-01
1.681681681681681528e-01 3.481386088488168107e-01
1.691691691691691590e-01 2.509761237859741700e-01
1.701701701701701652e-01 2.360917277435978234e-02
1.711711711711711714e-01 -2.841050693997659859e-02
1.721721721721721776e-01 -2.439654150709333336e-01
1.731731731731731838e-01 -5.204325790343459213e-01
1.741741741741741623e-01 -5.777667993578224914e-01
1.751751751751751685e-01 -7.452676796039322538e-01
1.761761761761761746e-01 -1.210525219723637358e+00
1.771771771771771808e-01 -1.314964403162109718e+00
1.781781781781781870e-01 -1.343520115491522393e+00
1.791791791791791655e-01 -5.176750626034271052e-01
1.801801801801801717e-01 7.657902496408025561e-02
1.811811811811811779e-01 8.363673469083051648e-01
1.821821821821821841e-01 1.138654592205152305e+00
1.831831831831831903e-01 1.323775431281634551e+00
1.841841841841841965e-01 1.067789511944794212e+00
1.851851851851851749e-01 8.631948712985862970e-01
1.861861861861861811e-01 3.399682928745701993e-01
1.871871871871871873e-01 3.632109161674358377e-01
1.881881881881881935e-01 4.002365194507158663e-01
1.891891891891891997e-01 1.824399973434399636e-01
1.901901901901901781e-01 -2.792957857163654856e-01
1.911911911911911843e-01 -2.090469495922600562e-01
1.921921921921921905e-01 -2.456853373622636949e-01
1.931931931931931967e-01 -5.656868434591627581e-01
1.941941941941942029e-01 -4.958419324439127807e-01
1.951951951951951814e-01 -1.118756795541458127e+00
1.961961961961961876e-01 -1.132525585337367691e+00
1.971971971971971938e-01 -1.482018450214024785e+00
1.981981981981981999e-01 -1.127247139573656964e+00
1.991991991991992061e-01 -6.121123326776151119e-01
2.002002002002001846e-01 1.328768414889784366e-01
2.012012012012011908e-01 8.246987454963438102e-01
2.022022022022021970e-01 1.357622132586178365e+00
2.032032032032032032e-01 1.436295206287700799e+00
2.042042042042042094e-01 1.070853624318663044e+00
2.052052052052052156e-01 5.736274914657318869e-01
2.062062062062061940e-01 5.404885272440317356e-01
2.072072072072072002e-01 5.157163897766248173e-01
2.082082082082082064e-01 3.309563184918803969e-01
2.092092092092092126e-01 2.375567660368456957e-01
2.102102102102102188e-01 2.700305047227154198e-02
2.112112112112111972e-01 -2.844518888903980192e-01
2.122122122122122034e-01 -1.370132049819610953e-01
2.132132132132132096e-01 -4.558276775984583806e-01
2.142142142142142158e-01 -5.606160734899601206e-01
2.152152152152152220e-01 -8.527580580725139248e-01
2.162162162162162282e-01 -1.330179154012906428e+00
2.172172172172172067e-01 -1.524592579231034195e+00
2.182182182182182129e-01 -1.280568957747002745e+00
2.192192192192192191e-01 -6.046790762698208699e-01
2.202202202202202252e-01 2.531389672942395141e-01
2.212212212212212314e-01 9.716695712934555473e-01
2.222222222222222099e-01 1.290767936219108236e+00
2.232232232232232161e-01 1.353053026259227076e+00
2.242242242242242223e-01 1.202561639291901852e+00
2.252252252252252285e-01 5.828858472252329559e-01
2.262262262262262347e-01 4.699587870077779894e-01
2.272272272272272131e-01 3.210497533425937799e-01
2.282282282282282193e-01 1.772544854183314977e-01
2.292292292292292255e-01 1.676616545754088528e-01
2.302302302302302317e-01 -5.441203017902483674e-03
2.312312312312312379e-01 -3.522623683511615367e-01
2.322322322322322163e-01 -4.210433447974181731e-01
2.332332332332332225e-01 -2.728908560683713791e-01
2.342342342342342287e-01 -6.037176241516220010e-01
2.352352352352352349e-01 -7.706266763445649426e-01
2.362362362362362411e-01 -1.191321807543860301e+00
2.372372372372372473e-01 -1.310238347694826722e+00
2.382382382382382258e-01 -1.172661166069248750e+00
2.392392392392392320e-01 -6.138694133575349765e-01
2.402402402402402382e-01 3.692428815834659650e-01
2.412412412412412444e-01 9.553735088383313867e-01
2.422422422422422505e-01 1.395331397436629928e+00
2.432432432432432290e-01 1.259749549654525680e+00
2.442442442442442352e-01 1.141366436577442300e+00
2.452452452452452414e-01 6.998733634716929330e-01
2.462462462462462476e-01 5.445092391396366693e-01
2.472472472472472538e-01 2.318283256453468610e-01
2.482482482482482600e-01 4.075995221852264372e-01
2.492492492492492384e-01 -8.579071690569600728e-02
2.502502502502502724e-01 -5.967541765324463343e-02
2.512512512512512508e-01 -7.708237994320632502e-03
2.522522522522522292e-01 -3.237552138042659178e-01
2.532532532532532632e-01 -3.115466471200024623e-01
2.542542542542542416e-01 -6.697031575182778029e-01
2.552552552552552756e-01 -8.966565660118439585e-01
2.562562562562562540e-01 -1.364354078201105436e+00
2.572572572572572325e-01 -1.391797749053374167e+00
2.582582582582582664e-01 -9.503785274912868175e-01
2.592592592592592449e-01 -5.215833134845313523e-01
2.602602602602602788e-01 1.963354129452810626e-01
2.612612612612612573e-01 9.758946447706744465e-01
2.622622622622622357e-01 1.226102692451348286e+00
2.632632632632632697e-01 1.203702090439139560e+00
2.642642642642642481e-01 1.151474132709295217e+00
2.652652652652652820e-01 7.959271677620387564e-01
2.662662662662662605e-01 5.292594847757116083e-01
2.672672672672672389e-01 2.667182623497302285e-01
2.682682682682682729e-01 2.480970743764977504e-01
2.692692692692692513e-01 -1.205596354530104608e-01
2.702702702702702853e-01 -5.674693412357298405e-02
2.712712712712712637e-01 -1.941388704204212168e-01
2.722722722722722422e-01 -2.940446894600460270e-01
2.732732732732732761e-01 -5.340171677664392602e-01
2.742742742742742545e-01 -5.496048413800245225e-01
2.752752752752752885e-01 -9.985113134237078025e-01
2.762762762762762669e-01 -1.266464120259659598e+00
2.772772772772773009e-01 -1.292567796970276017e+00
2.782782782782782793e-01 -1.264283911132145111e+00
2.792792792792792578e-01 -5.178032413977530224e-01
2.802802802802802917e-01 4.538698208825334146e-02
2.812812812812812702e-01 1.059168742335460545e+00
2.822822822822823041e-01 1.342273456115789187e+00
2.832832832832832826e-01 1.198359700452247933e+00
2.842842842842842610e-01 1.019817982397075884e+00
2.852852852852852950e-01 7.083497092531187977e-01
2.862862862862862734e-01 3.220225353748507047e-01
2.872872872872873073e-01 3.766404092283670013e-01
2.882882882882882858e-01 2.665726730870390804e-01
2.892892892892892642e-01 1.433271619036065592e-01
2.902902902902902982e-01 -7.251639526721978535e-02
2.912912912912912766e-01 -6.540295196644640985e-02
2.922922922922923106e-01 -4.805238607924864347e-01
2.932932932932932890e-01 -4.661120943079815060e-01
2.942942942942942675e-01 -5.492033978978476672e-01
2.952952952952953014e-01 -8.181448659462694506e-01
2.962962962962962798e-01 -1.163010105414559403e+00
2.972972972972973138e-01 -1.332347179309722573e+00
2.982982982982982922e-01 -1.128075402654322490e+00
2.992992992992992707e-01 -5.819831330631561883e-01
3.003003003003003046e-01 2.684607459511103578e-01
3.013013013013012831e-01 1.028321450687696315e+00
3.023023023023023170e-01 1.058207354523877264e+00
3.033033033033032955e-01 1.364881434557819961e+00
